// <0000> 魔物使いの女性たちが、シートの上に何人も寝かせられていた。
<0000> 魔物使いの女性たちが、シートの上に何人も寝かせられていた。
<1464> 「朱音さんが望むなら、なんだってやるよ」

// <1465> 朱音
<1465> 朱音

// <1466> 「私は…瑚太朗を利用してる気がする」
<1466> 「私は…瑚太朗を利用してる気がする」

// <1467> 朱音
<1467> 朱音

// <1468> 「愛される資格なんてないんじゃないかって…」
<1468> 「愛される資格なんてないんじゃないかって…」

// <1469> 瑚太朗
<1469> 瑚太朗

// <1470> 「気になる人がいて…」
<1470> 「気になる人がいて…」

// <1471> 瑚太朗
<1471> 瑚太朗

// <1472> 「その人が、いつか好きな人に変わった」
<1472> 「その人が、いつか好きな人に変わった」

// <1473> 瑚太朗
<1473> 瑚太朗

// <1474> 「好きな人のために頑張ってたら、こうなった。それだけのことでしょ」
<1474> 「好きな人のために頑張ってたら、こうなった。それだけのことでしょ」

// <1475> 瑚太朗
<1475> 瑚太朗

// <1476> 「朱音さんは男心がわかってない」
<1476> 「朱音さんは男心がわかってない」

// <1477> 瑚太朗
<1477> 瑚太朗

// <1478> 「頼ってくれれば、それでめいっぱい幸せなんだ…」
<1478> 「頼ってくれれば、それでめいっぱい幸せなんだ…」

// <1479> 瑚太朗
<1479> 瑚太朗

// <1480> 「いくらだって頑張れる」
<1480> 「いくらだって頑張れる」

// <1481> 朱音
<1481> 朱音

// <1482> 「…ありがとう」
<1482> 「…ありがとう」

// <1483> 朱音
<1483> 朱音

// <1484> 「瑚太朗、愛………
<1484> 「瑚太朗、愛………

// <1485> これからも警備しっかりね」
<1485> これからも警備しっかりね」

// <1486> 瑚太朗
<1486> 瑚太朗

// <1487> （途中でやめたっ！？）
<1487> （途中でやめたっ！？）

// <1488> 改めて開眼した。
<1488> 改めて開眼した。

// <1489> この人は、隠れヘタレだ…
<1489> この人は、隠れヘタレだ…

// <1490> 朱音
<1490> 朱音

// <1491> 「…それと」
<1491> 「…それと」

// <1492> 身をひねって、俺の顔を両手で挟む。
<1492> 身をひねって、俺の顔を両手で挟む。

// <1493> 双方から、唇を寄せた。
<1493> 双方から、唇を寄せた。

// <1494> 数日後、状況悪化。
<1494> 数日後、状況悪化。

// <1495> やっと報道ラッシュが落ち着いてきた矢先だった。
<1495> やっと報道ラッシュが落ち着いてきた矢先だった。

// <1496> 市とマーテルの癒着が暴かれ、地元新聞の一面に掲載された。
<1496> 市とマーテルの癒着が暴かれ、地元新聞の一面に掲載された。

// <1497> 不透明な資産運用。
<1497> 不透明な資産運用。

// <1498> 献金、補填。
<1498> 献金、補填。

// <1499> 金銭の流れを調査されれば、どんな組織だって弱みはある。
<1499> 金銭の流れを調査されれば、どんな組織だって弱みはある。

// <1500> そこを露骨に突かれた。
<1500> そこを露骨に突かれた。

// <1501> 聖女会の多くが、心にハンディを抱えている人々だ。
<1501> 聖女会の多くが、心にハンディを抱えている人々だ。

// <1502> 朱音や加島桜に癒され、組織に加わった人も多い。
<1502> 朱音や加島桜に癒され、組織に加わった人も多い。

// <1503> そういった人々の抱え込みを、さも問題であるように書き立てられた。
<1503> そういった人々の抱え込みを、さも問題であるように書き立てられた。

// <1504> 洗脳して奴隷にしているとまで報じられた。
<1504> 洗脳して奴隷にしているとまで報じられた。

// <1505> 世論はマーテル憎しのムードに染まりつつある。
<1505> 世論はマーテル憎しのムードに染まりつつある。

// <1506> 皆は忙しそうだったが、政治のことでは俺は力にはなれない。
<1506> 皆は忙しそうだったが、政治のことでは俺は力にはなれない。

// <1507> せめて外出を控え、ボロを出さぬようにした。
<1507> せめて外出を控え、ボロを出さぬようにした。

// <1508> あくる日には、善意の市民活動団体様が、風祭市のかわいそうな洗脳少女らを救いにやってきた。
<1508> あくる日には、善意の市民活動団体様が、風祭市のかわいそうな洗脳少女らを救いにやってきた。

// <1509> 彼らは施設前の道路に陣取ると、
<1509> 彼らは施設前の道路に陣取ると、

// <1510> ビラ撒きやスピーカーマイクを使った強圧的呼びかけを開始。
<1510> ビラ撒きやスピーカーマイクを使った強圧的呼びかけを開始。

// <1511> メンバーは中年女性が多かった。
<1511> メンバーは中年女性が多かった。

// <1512> 彼女らは人権侵害を訴え、会の解散を説いた。
<1512> 彼女らは人権侵害を訴え、会の解散を説いた。

// <1513> 
<1513> 

// <1514> 朱音
<1514> 朱音

// <1515> 「とうとうはじまったわね」
<1515> 「とうとうはじまったわね」

// <1516> 関係者が出入りする度に、団体はマーテルとの関係を断つよう呼びかけた。
<1516> 関係者が出入りする度に、団体はマーテルとの関係を断つよう呼びかけた。

// <1517> これではいずれ、誰も建物に近づけなくなってしまう。
<1517> これではいずれ、誰も建物に近づけなくなってしまう。

// <1518> 津久野
<1518> 津久野

// <1519> 「念のため、警察には通報しておきます」
<1519> 「念のため、警察には通報しておきます」

// <1520> 朱音
<1520> 朱音

// <1521> 「そうしてちょうだい。もっとも…」
<1521> 「そうしてちょうだい。もっとも…」

// <1522> 朱音
<1522> 朱音

// <1523> 「まともに対応してくれるとは思えないけれど」
<1523> 「まともに対応してくれるとは思えないけれど」

// <1524> 警察が通報を受けてやってきたのは、
<1524> 警察が通報を受けてやってきたのは、

// <1525> デモがはじまって５時間も経ってからだ。
<1525> デモがはじまって５時間も経ってからだ。

// <1526> 怠慢なんてレベルじゃない。
<1526> 怠慢なんてレベルじゃない。

// <1527> それも騒音について、口頭で軽く注意をしただけ。
<1527> それも騒音について、口頭で軽く注意をしただけ。

// <1528> さっさと立ち去った。
<1528> さっさと立ち去った。

// <1529> 基本的に警察も、こちらの味方ではないようだ。
<1529> 基本的に警察も、こちらの味方ではないようだ。

// <1530> 
<1530> 

// <1531> 朱音
<1531> 朱音

// <1532> 「現代で癒しの技をおおっぴらにふるうと、こういうことになるのよね」
<1532> 「現代で癒しの技をおおっぴらにふるうと、こういうことになるのよね」

// <1533> 瑚太朗
<1533> 瑚太朗

// <1534> 「…どうして、あんな性急に？」
<1534> 「…どうして、あんな性急に？」

// <1535> 瑚太朗
<1535> 瑚太朗

// <1536> 「もっとこっそりやることもできたでしょう」
<1536> 「もっとこっそりやることもできたでしょう」

// <1537> 朱音
<1537> 朱音

// <1538> 「人手が欲しかったからよ。少しでも早く」
<1538> 「人手が欲しかったからよ。少しでも早く」

// <1539> 朱音
<1539> 朱音

// <1540> 「洲崎との決別も決定的だったし、政治力では彼らにはかなわない。てっとりばやく地盤を固めるためには、こうしたあやしげな奇跡も有効だもの」
<1540> 「洲崎との決別も決定的だったし、政治力では彼らにはかなわない。てっとりばやく地盤を固めるためには、こうしたあやしげな奇跡も有効だもの」

// <1541> でもその代価は大きかった。
<1541> でもその代価は大きかった。

// <1542> デモ活動は日に日に過激さを増した。
<1542> デモ活動は日に日に過激さを増した。

// <1543> 住宅街から離れているのをいいことに、しばしば夜中まで続けられた。
<1543> 住宅街から離れているのをいいことに、しばしば夜中まで続けられた。

// <1544> 市の公安条例では、住宅街でもない限り、迷惑騒音の基準はあってなきに等しい。
<1544> 市の公安条例では、住宅街でもない限り、迷惑騒音の基準はあってなきに等しい。

// <1545> 同じことを俺たちがやったら、たちまち非難の的だろうが。
<1545> 同じことを俺たちがやったら、たちまち非難の的だろうが。

// <1546> マスコミはデモ活動を支援した。
<1546> マスコミはデモ活動を支援した。

// <1547> テレビ効果は絶大だった。
<1547> テレビ効果は絶大だった。

// <1548> 人々は活動団体の味方をした。
<1548> 人々は活動団体の味方をした。

// <1549> 監視の目は２４時間光った。
<1549> 監視の目は２４時間光った。

// <1550> 出入りするあらゆる人物・業者を威嚇し、関係者と知るやその不実を詰った。
<1550> 出入りするあらゆる人物・業者を威嚇し、関係者と知るやその不実を詰った。

// <1551> 相手が若い女性や子供でもお構いなし。
<1551> 相手が若い女性や子供でもお構いなし。

// <1552> 善意が輝きわたっていた。
<1552> 善意が輝きわたっていた。

// <1553> 津久野
<1553> 津久野

// <1554> 「…かなり悪質な職業活動団体に近いですね」
<1554> 「…かなり悪質な職業活動団体に近いですね」

// <1555> 津久野さんが彼女らについて調査をした。
<1555> 津久野さんが彼女らについて調査をした。

// <1556> 津久野
<1556> 津久野

// <1557> 「相談役の弁護士もいますし、他の活動団体との連帯によって各地を転戦し、和睦金などの名目で活動資金を得ています」
<1557> 「相談役の弁護士もいますし、他の活動団体との連帯によって各地を転戦し、和睦金などの名目で活動資金を得ています」

// <1558> 津久野
<1558> 津久野

// <1559> 「出版事業などにも手を出していますね。おそらく今回の件も、遠からず告発本が書店に並ぶことでしょう」
<1559> 「出版事業などにも手を出していますね。おそらく今回の件も、遠からず告発本が書店に並ぶことでしょう」

// <1560> 津久野
<1560> 津久野

// <1561> 「その本を、彼女たちと和睦した企業や団体にまとめて購入させることで、書店などでベストセラーになるシステムです」
<1561> 「その本を、彼女たちと和睦した企業や団体にまとめて購入させることで、書店などでベストセラーになるシステムです」

// <1562> 朱音
<1562> 朱音

// <1563> 「あら、合理的ね」
<1563> 「あら、合理的ね」

// <1564> 津久野
<1564> 津久野

// <1565> 「ええ、まったく」
<1565> 「ええ、まったく」

// <1566> 朱音
<1566> 朱音

// <1567> 「うちも苦しい時期にそういうことをやれば良かった」
<1567> 「うちも苦しい時期にそういうことをやれば良かった」

// <1568> 瑚太朗
<1568> 瑚太朗

// <1569> 「…のんきっすね、あんたら」
<1569> 「…のんきっすね、あんたら」

// <1570> 津久野
<1570> 津久野

// <1571> 「こうなったら焦っても仕方ありません」
<1571> 「こうなったら焦っても仕方ありません」

// <1572> 朱音
<1572> 朱音

// <1573> 「そうよ。楽しめるうちに楽しまないと」
<1573> 「そうよ。楽しめるうちに楽しまないと」

// <1574> 瑚太朗
<1574> 瑚太朗

// <1575> 「楽しみ要素ゼロなんですけど」
<1575> 「楽しみ要素ゼロなんですけど」

// <1576> 朱音
<1576> 朱音

// <1577> 「子供ね、瑚太朗は」
<1577> 「子供ね、瑚太朗は」

// <1578> ころころと笑った。
<1578> ころころと笑った。

// <1579> 最近、朱音は不自然に明るい。
<1579> 最近、朱音は不自然に明るい。

// <1580> 朱音
<1580> 朱音

// <1581> 「洲崎はしてやったりといったところかしら」
<1581> 「洲崎はしてやったりといったところかしら」

// <1582> 津久野
<1582> 津久野

// <1583> 「あの団体に資金提供もしているようですよ」
<1583> 「あの団体に資金提供もしているようですよ」

// <1584> 朱音
<1584> 朱音

// <1585> 「馬鹿な男。加島を愛し続けていられたなら、ここまで落ちぶれはしなかった」
<1585> 「馬鹿な男。加島を愛し続けていられたなら、ここまで落ちぶれはしなかった」

// <1586> 瑚太朗
<1586> 瑚太朗

// <1587> 「加島と洲崎がそうだったって話、本当なんですね」
<1587> 「加島と洲崎がそうだったって話、本当なんですね」

// <1588> 朱音
<1588> 朱音

// <1589> 「そうよ。あれは一度は聖女を支える決意をしたけれど、恐れて逃げだしたのよ」
<1589> 「そうよ。あれは一度は聖女を支える決意をしたけれど、恐れて逃げだしたのよ」

// <1590> 瑚太朗
<1590> 瑚太朗

// <1591> 「何を恐れるんです」
<1591> 「何を恐れるんです」

// <1592> 朱音
<1592> 朱音

// <1593> 「加島の力…いや、本質を恐れたのでしょうね」
<1593> 「加島の力…いや、本質を恐れたのでしょうね」

// <1594> 瑚太朗
<1594> 瑚太朗

// <1595> 「…よくわかりません」
<1595> 「…よくわかりません」

// <1596> 朱音
<1596> 朱音

// <1597> 「加島は…理念に生きた人だったから」
<1597> 「加島は…理念に生きた人だったから」

// <1598> 朱音
<1598> 朱音

// <1599> 「徹底したガイア主義者…それは洲崎のような俗物にとって、理解不能な存在だったのね」
<1599> 「徹底したガイア主義者…それは洲崎のような俗物にとって、理解不能な存在だったのね」

// <1600> 瑚太朗
<1600> 瑚太朗

// <1601> 「…」
<1601> 「…」

// <1602> 誰よりもガイア的であること。
<1602> 誰よりもガイア的であること。

// <1603> それは誰よりも、この世に絶望しているということ…
<1603> それは誰よりも、この世に絶望しているということ…

// <1604> 聖女だから、そうなのか。
<1604> 聖女だから、そうなのか。

// <1605> いつか朱音もまた同じようになるのか。
<1605> いつか朱音もまた同じようになるのか。

// <1606> だとしたら…
<1606> だとしたら…

// <1607> この手で支えなければならない。
<1607> この手で支えなければならない。

// <1608> 俺は逃げたりはしない。
<1608> 俺は逃げたりはしない。

// <1609> だけど俺と洲崎が、同じ立場にいたという事実。
<1609> だけど俺と洲崎が、同じ立場にいたという事実。

// <1610> それだけが小骨のように喉に引っかかっていた。
<1610> それだけが小骨のように喉に引っかかっていた。

// <1611> また収穫祭が近づいてきた。
<1611> また収穫祭が近づいてきた。

// <1612> だが祭りを主導するべきマーテル会が、活動を自粛している。
<1612> だが祭りを主導するべきマーテル会が、活動を自粛している。

// <1613> 小さな催しなら中止するのだろうが、なにぶん収穫祭は規模が大きすぎた。
<1613> 小さな催しなら中止するのだろうが、なにぶん収穫祭は規模が大きすぎた。

// <1614> 住民もどう対応するべきか決めかねている。
<1614> 住民もどう対応するべきか決めかねている。

// <1615> リーダーなき今、いかに数十万人規模の来場者がある収穫祭を取り仕切るのか。
<1615> リーダーなき今、いかに数十万人規模の来場者がある収穫祭を取り仕切るのか。

// <1616> 瑚太朗
<1616> 瑚太朗

// <1617> 「津久野さん、ネットは見てます？」
<1617> 「津久野さん、ネットは見てます？」

// <1618> 津久野
<1618> 津久野

// <1619> 「担当の者がチェックをしておりますけど」
<1619> 「担当の者がチェックをしておりますけど」

// <1620> 瑚太朗
<1620> 瑚太朗

// <1621> 「これ」
<1621> 「これ」

// <1622> ノートパソコンのモニターを津久野さんに向ける。
<1622> ノートパソコンのモニターを津久野さんに向ける。

// <1623> 津久野
<1623> 津久野

// <1624> 「…ああ、洲崎さん…ついに」
<1624> 「…ああ、洲崎さん…ついに」

// <1625> 朱音
<1625> 朱音

// <1626> 「どうしたの？」
<1626> 「どうしたの？」

// <1627> しまことあやとりをしていた朱音も、こちらにやってくる。
<1627> しまことあやとりをしていた朱音も、こちらにやってくる。

// <1628> 津久野
<1628> 津久野

// <1629> 「見てください」
<1629> 「見てください」

// <1630> 朱音
<1630> 朱音

// <1631> 「これは…」
<1631> 「これは…」

// <1632> 俺が見ていたページとは、日本マーテル会の公式ホームページだ。
<1632> 俺が見ていたページとは、日本マーテル会の公式ホームページだ。

// <1633> 渦中のページ。
<1633> 渦中のページ。

// <1634> ここのところずっと、一日数十万という勢いで閲覧者が訪れていて、
<1634> ここのところずっと、一日数十万という勢いで閲覧者が訪れていて、

// <1635> カウンターも吹っ飛んでしまった。
<1635> カウンターも吹っ飛んでしまった。

// <1636> 専有の光回線ならともかく、モバイルだと世にも重いページに成り下がっている。
<1636> 専有の光回線ならともかく、モバイルだと世にも重いページに成り下がっている。

// <1637> 日本マーテルのＨＰは、ここのところトップに謝罪文を掲載していた。
<1637> 日本マーテルのＨＰは、ここのところトップに謝罪文を掲載していた。

// <1638> ウェブ管理は洲崎たちの管轄だ。
<1638> ウェブ管理は洲崎たちの管轄だ。

// <1639> こちらからはどうこうできない。
<1639> こちらからはどうこうできない。

// <1640> だから一方的な内容をいくらでも発信できた。
<1640> だから一方的な内容をいくらでも発信できた。

// <1641> ～会員、協賛会員の皆様へ～
<1641> ～会員、協賛会員の皆様へ～

// <1642> 先頃報道された件につきまして、日頃よりご支援を賜っております皆様方に、大変なご迷惑とご心配をおかけいたしますこと、謹んでお詫び申し上げます。
<1642> 先頃報道された件につきまして、日頃よりご支援を賜っております皆様方に、大変なご迷惑とご心配をおかけいたしますこと、謹んでお詫び申し上げます。

// <1643> 今回の不祥事につきまして、当会は事態を重く受け止め、全容の解明に取り組んで参りましたが、その実態につきまして以下のようにご報告申し上げます。
<1643> 今回の不祥事につきまして、当会は事態を重く受け止め、全容の解明に取り組んで参りましたが、その実態につきまして以下のようにご報告申し上げます。

// <1644> 財団法人　日本マーテル会の一内部組織『聖女会』が、市内外の福祉施設に対し、支援と引き替えに入所児童の抱え込みを行っていたことが判明いたしました。
<1644> 財団法人　日本マーテル会の一内部組織『聖女会』が、市内外の福祉施設に対し、支援と引き替えに入所児童の抱え込みを行っていたことが判明いたしました。

// <1645> ハンディキャップを持つ児童たちの中で、特に回復途中の子どもを選び、独自の洗脳的教育を施すことで…
<1645> ハンディキャップを持つ児童たちの中で、特に回復途中の子どもを選び、独自の洗脳的教育を施すことで…

// <1646> 瑚太朗
<1646> 瑚太朗

// <1647> 「だあっ、うぜーーーっ！！」
<1647> 「だあっ、うぜーーーっ！！」

// <1648> イラついてとても読んでいられない。
<1648> イラついてとても読んでいられない。

// <1649> 瑚太朗
<1649> 瑚太朗

// <1650> 「これじゃ、聖女会が子どもを人身売買してたみたいじゃん！」
<1650> 「これじゃ、聖女会が子どもを人身売買してたみたいじゃん！」

// <1651> 朱音
<1651> 朱音

// <1652> 「…いいところを突いているわよ、これ」
<1652> 「…いいところを突いているわよ、これ」

// <1653> 朱音
<1653> 朱音

// <1654> 「蘇生の奇跡ではなく、単に回復途中の者を選んで取りあげている…と読み取らせたいのね」
<1654> 「蘇生の奇跡ではなく、単に回復途中の者を選んで取りあげている…と読み取らせたいのね」

// <1655> 津久野
<1655> 津久野

// <1656> 「悪意の有無を別とすれば、書いてあることは嘘ではありませんね」
<1656> 「悪意の有無を別とすれば、書いてあることは嘘ではありませんね」

// <1657> 瑚太朗
<1657> 瑚太朗

// <1658> 「しまこだって、ここに来て急速に回復してるってのに…」
<1658> 「しまこだって、ここに来て急速に回復してるってのに…」

// <1659> 朱音
<1659> 朱音

// <1660> 「人助けが目的であの子を置いているわけじゃない。それは事実だわ」
<1660> 「人助けが目的であの子を置いているわけじゃない。それは事実だわ」

// <1661> 瑚太朗
<1661> 瑚太朗

// <1662> 「ん…」
<1662> 「ん…」

// <1663> 聖女会に属する者は、例外なく魔物使いだ。
<1663> 聖女会に属する者は、例外なく魔物使いだ。

// <1664> そして魔物使いである以上、時に実戦にも駆り出される。
<1664> そして魔物使いである以上、時に実戦にも駆り出される。

// <1665> しまこだって危険な任務に従事していたんだ。
<1665> しまこだって危険な任務に従事していたんだ。

// <1666> 津久野
<1666> 津久野

// <1667> 「我々のやっていることは虐待ですからね」
<1667> 「我々のやっていることは虐待ですからね」

// <1668> 朱音
<1668> 朱音

// <1669> 「問題はその私たちにしても、虐待される側であることね」
<1669> 「問題はその私たちにしても、虐待される側であることね」

// <1670> 朱音
<1670> 朱音

// <1671> 「…一般職員の様子はどう？」
<1671> 「…一般職員の様子はどう？」

// <1672> 津久野
<1672> 津久野

// <1673> 「動揺が見られますね」
<1673> 「動揺が見られますね」

// <1674> 津久野
<1674> 津久野

// <1675> 「この先、大勢が抜けるでしょう」
<1675> 「この先、大勢が抜けるでしょう」

// <1676> 津久野
<1676> 津久野

// <1677> 「引き継ぎの準備だけは整えておきます」
<1677> 「引き継ぎの準備だけは整えておきます」

// <1678> 朱音
<1678> 朱音

// <1679> 「そうしてちょうだい。抜けたい子は、自由にさせてあげて」
<1679> 「そうしてちょうだい。抜けたい子は、自由にさせてあげて」

// <1680> 籠城してから、もう一ヶ月近い。
<1680> 籠城してから、もう一ヶ月近い。

// <1681> 自宅から通っていた職員の多くが、通勤不可能となっている。
<1681> 自宅から通っていた職員の多くが、通勤不可能となっている。

// <1682> 家族からの妨害を受ける者。
<1682> 家族からの妨害を受ける者。

// <1683> ヤジを恐れて施設に近づけない者。
<1683> ヤジを恐れて施設に近づけない者。

// <1684> 今回の騒動にショックを受けてしまった者。
<1684> 今回の騒動にショックを受けてしまった者。

// <1685> 秘儀に触れていない一般職員には、無理もないことだ。
<1685> 秘儀に触れていない一般職員には、無理もないことだ。

// <1686> デモは定常化していた。
<1686> デモは定常化していた。

// <1687> マーテルから可哀想な子たちを救え、と毎日叫んでいる。
<1687> マーテルから可哀想な子たちを救え、と毎日叫んでいる。

// <1688> 強力な糾弾だ。
<1688> 強力な糾弾だ。

// <1689> 子ども絡みは人々の感情を煽る。
<1689> 子ども絡みは人々の感情を煽る。

// <1690> 朱音はこれからどうするつもりなんだろう？
<1690> 朱音はこれからどうするつもりなんだろう？

// <1691> どう組織を再建するつもりなんだろう？
<1691> どう組織を再建するつもりなんだろう？

// <1692> 俺には、もう無理のように見える。
<1692> 俺には、もう無理のように見える。

// <1693> 破滅に向かってつき進んでいるような…
<1693> 破滅に向かってつき進んでいるような…

// <1694> 鍵が死んで、俺たちは日常に帰っていけるのだと思っていた。
<1694> 鍵が死んで、俺たちは日常に帰っていけるのだと思っていた。

// <1695> どうしてこんなことになってしまったのか…
<1695> どうしてこんなことになってしまったのか…

// <1696> 朱音
<1696> 朱音

// <1697> 「収穫祭は洲崎たちがすべて手配するようね。例年通りの日程で行う、とあるわ」
<1697> 「収穫祭は洲崎たちがすべて手配するようね。例年通りの日程で行う、とあるわ」

// <1698> ノートパソコンを眺めていた朱音が、興味なさげに言う。
<1698> ノートパソコンを眺めていた朱音が、興味なさげに言う。

// <1699> 津久野
<1699> 津久野

// <1700> 「なら今年は楽ができますね」
<1700> 「なら今年は楽ができますね」

// <1701> ふたりの笑いに、俺だけは追随できない。
<1701> ふたりの笑いに、俺だけは追随できない。

// <1702> 籠城は続いた。
<1702> 籠城は続いた。

// <1703> やがて変化がないことに人々は飽きはじめた。
<1703> やがて変化がないことに人々は飽きはじめた。

// <1704> デモの人数が減り、以前ほどの圧迫感はなくなった。
<1704> デモの人数が減り、以前ほどの圧迫感はなくなった。

// <1705> 解決したわけではないのに、渦中にいるとなんだか状況が良くなったかのような印象さえある。
<1705> 解決したわけではないのに、渦中にいるとなんだか状況が良くなったかのような印象さえある。

// <1706> 現実感が喪失しているのだ。
<1706> 現実感が喪失しているのだ。

// <1707> 正義は印象で決まる。
<1707> 正義は印象で決まる。

// <1708> 大多数の国民の感情で。
<1708> 大多数の国民の感情で。

// <1709> こうなって欲しいという悪の形に、無理やり押し込もうとする。
<1709> こうなって欲しいという悪の形に、無理やり押し込もうとする。

// <1710> 子供を拐かして洗脳し、施設を不法占拠するような狂信的な集団。
<1710> 子供を拐かして洗脳し、施設を不法占拠するような狂信的な集団。

// <1711> 俺たちに与えられた役割がそれだ。
<1711> 俺たちに与えられた役割がそれだ。

// <1712> 朱音は外出する用件がなくなったせいか、聖歌隊の訓練に励む他は、マンガを読んだりお菓子を食べたりしている。
<1712> 朱音は外出する用件がなくなったせいか、聖歌隊の訓練に励む他は、マンガを読んだりお菓子を食べたりしている。

// <1713> …少し太った。
<1713> …少し太った。

// <1714> 津久野さんも以前ほど多忙ではなくなり、しまこの面倒をよくみている。
<1714> 津久野さんも以前ほど多忙ではなくなり、しまこの面倒をよくみている。

// <1715> 聖女会の人々は、もともと世のことには関心が薄い。
<1715> 聖女会の人々は、もともと世のことには関心が薄い。

// <1716> 楽観的な上層部に対し、末端の人達はそうでもない。
<1716> 楽観的な上層部に対し、末端の人達はそうでもない。

// <1717> ここに来て、組織を抜けたいと申し出てくる者が続出した。
<1717> ここに来て、組織を抜けたいと申し出てくる者が続出した。

// <1718> 包囲網が緩和し、張りつめていたものも緩んだせいだろう。
<1718> 包囲網が緩和し、張りつめていたものも緩んだせいだろう。

// <1719> 朱音は快く許可した。
<1719> 朱音は快く許可した。

// <1720> 送別会までやった。
<1720> 送別会までやった。

// <1721> 俺がケーキを買いに行かされたのだ。
<1721> 俺がケーキを買いに行かされたのだ。

// <1722> 隠密行動には地下通路を用いるのだが、これは今のところ誰にも露見していないルートだった。
<1722> 隠密行動には地下通路を用いるのだが、これは今のところ誰にも露見していないルートだった。

// <1723> ついでに神殿周辺を歩き回ってみた。
<1723> ついでに神殿周辺を歩き回ってみた。

// <1724> 張り込みをしている者を見つけた。
<1724> 張り込みをしている者を見つけた。

// <1725> マスコミではないようだった。
<1725> マスコミではないようだった。

// <1726> 報道関係者なら今さら不審とは思わない。
<1726> 報道関係者なら今さら不審とは思わない。

// <1727> 時間を潰しているように装っていながら、妙に隙がない男だった。
<1727> 時間を潰しているように装っていながら、妙に隙がない男だった。

// <1728> 特別な訓練を受けているかのような…
<1728> 特別な訓練を受けているかのような…

// <1729> こちらから接触するなんてことはしない。
<1729> こちらから接触するなんてことはしない。

// <1730> スルーして帰投する。
<1730> スルーして帰投する。

// <1731> 非日常だな、と思った。
<1731> 非日常だな、と思った。

// <1732> 俺は今、社会的な非日常の中にいる。
<1732> 俺は今、社会的な非日常の中にいる。

// <1733> 事務スタッフの数もすっかり減ってしまった。
<1733> 事務スタッフの数もすっかり減ってしまった。

// <1734> 今や施設内は廃墟のようだ。
<1734> 今や施設内は廃墟のようだ。

// <1735> 来てもらっても仕事がないのだし、支障はないのだが…
<1735> 来てもらっても仕事がないのだし、支障はないのだが…

// <1736> 最近、しまこ界隈はかくれんぼがリバイバルブームだ。
<1736> 最近、しまこ界隈はかくれんぼがリバイバルブームだ。

// <1737> なにせ隠れる場所はいくらでもある。
<1737> なにせ隠れる場所はいくらでもある。

// <1738> しまこの隠れテクも上達していた。
<1738> しまこの隠れテクも上達していた。

// <1739> 勝負は長引くことが多くなった。
<1739> 勝負は長引くことが多くなった。

// <1740> ヤツの必殺、大人の入れない場所の奥に隠れる戦術は、あまりにも強力だった。
<1740> ヤツの必殺、大人の入れない場所の奥に隠れる戦術は、あまりにも強力だった。

// <1741> そこで俺は、フロア移動禁止なルールを突いた、トイレ待ち伏せ戦略で対抗した。
<1741> そこで俺は、フロア移動禁止なルールを突いた、トイレ待ち伏せ戦略で対抗した。

// <1742> 対してしまこは、究極ともいえるおむつ戦略を開発し、これを切り崩した。
<1742> 対してしまこは、究極ともいえるおむつ戦略を開発し、これを切り崩した。

// <1743> 一週間ぶっ続けでかくれんぼをしていた。
<1743> 一週間ぶっ続けでかくれんぼをしていた。

// <1744> あまりにも変化がない毎日…
<1744> あまりにも変化がない毎日…

// <1745> それも唐突に終わる。
<1745> それも唐突に終わる。

// <1746> 瑚太朗
<1746> 瑚太朗

// <1747> 「…別件逮捕？」
<1747> 「…別件逮捕？」

// <1748> 朱音
<1748> 朱音

// <1749> 「ええ。今日になって立て続けにね」
<1749> 「ええ。今日になって立て続けにね」

// <1750> どういうことかと津久野さんを見やる。
<1750> どういうことかと津久野さんを見やる。

// <1751> 津久野
<1751> 津久野

// <1752> 「組織を離れた子たちが、逮捕されているんです」
<1752> 「組織を離れた子たちが、逮捕されているんです」

// <1753> 瑚太朗
<1753> 瑚太朗

// <1754> 「なんでまた、容疑は？」
<1754> 「なんでまた、容疑は？」

// <1755> 津久野
<1755> 津久野

// <1756> 「こじつけばかりですね」
<1756> 「こじつけばかりですね」

// <1757> 津久野
<1757> 津久野

// <1758> 「たとえばこの子は、友人宅を訪ね、敷地内に入って玄関前で待っていたところを住居侵入で押さえられてますね」
<1758> 「たとえばこの子は、友人宅を訪ね、敷地内に入って玄関前で待っていたところを住居侵入で押さえられてますね」

// <1759> 瑚太朗
<1759> 瑚太朗

// <1760> 「は？」
<1760> 「は？」

// <1761> 津久野
<1761> 津久野

// <1762> 「金属製のつけ爪…噛み癖で爪をなくした者がつけるものなんですが…それを身につけていて、凶器になるおそれがあるという理由により、軽犯罪法違反で捕まった者」
<1762> 「金属製のつけ爪…噛み癖で爪をなくした者がつけるものなんですが…それを身につけていて、凶器になるおそれがあるという理由により、軽犯罪法違反で捕まった者」

// <1763> 瑚太朗
