// <0000> 
<0000> 

// <0001> 静流が倒れて病院に担ぎ込まれたと、ルチアから連絡があった。
<0001> 静流が倒れて病院に担ぎ込まれたと、ルチアから連絡があった。
<1832> ……………………。

// <1833> 西九条は体をがばっと起こし、内線電話をダイヤルする。
<1833> 西九条は体をがばっと起こし、内線電話をダイヤルする。

// <1834> 西九条
<1834> 西九条

// <1835> 「私よ！　７０年代の例の計画、箱舟計画を調べてっ」
<1835> 「私よ！　７０年代の例の計画、箱舟計画を調べてっ」

// <1836> 西九条
<1836> 西九条

// <1837> 「莫大な予算を浪費して世界中に核シェルターという名の大穴を掘っただけに終わった、非難轟々の黒歴史をね」
<1837> 「莫大な予算を浪費して世界中に核シェルターという名の大穴を掘っただけに終わった、非難轟々の黒歴史をね」

// <1838> ガーディアンは、常に終末幻想に怯え、それに対抗するために右往左往してきた。
<1838> ガーディアンは、常に終末幻想に怯え、それに対抗するために右往左往してきた。

// <1839> ７０年代には核戦争に怯え、極秘に、世界中に核シェルターを作った。
<1839> ７０年代には核戦争に怯え、極秘に、世界中に核シェルターを作った。

// <1840> そして今度は千年後の環境崩壊を恐れ、極秘に、ルチアという未来の人類を作った。
<1840> そして今度は千年後の環境崩壊を恐れ、極秘に、ルチアという未来の人類を作った。

// <1841> 今も昔も変わらない。ガーディアンは、何も…！
<1841> 今も昔も変わらない。ガーディアンは、何も…！

// <1842> 対抗すべきは、地球と人類を滅ぼす要因の方ではないのか…？
<1842> 対抗すべきは、地球と人類を滅ぼす要因の方ではないのか…？

// <1843> 滅ぶことを前提に、いつも間違った方向に右往左往する…！
<1843> 滅ぶことを前提に、いつも間違った方向に右往左往する…！

// <1844> 西九条
<1844> 西九条

// <1845> 「あぁ、本当に私は馬鹿だわ、呆れるわ…！　こんなの簡単に推理できたじゃない！」
<1845> 「あぁ、本当に私は馬鹿だわ、呆れるわ…！　こんなの簡単に推理できたじゃない！」

// <1846> 次世代人類プロジェクトにとって、ルチアという完成品を眠らせて千年後に送るには、千年間、安全に保存しておける場所が不可欠ではないか。
<1846> 次世代人類プロジェクトにとって、ルチアという完成品を眠らせて千年後に送るには、千年間、安全に保存しておける場所が不可欠ではないか。

// <1847> 彼らはその場所を選定するために、箱庭計画で作られた極秘シェルターの情報にアクセスしていたのだ。
<1847> 彼らはその場所を選定するために、箱庭計画で作られた極秘シェルターの情報にアクセスしていたのだ。

// <1848> 彼らは知っているのだ。風祭市の近くに、秘密のシェルターがあることを！
<1848> 彼らは知っているのだ。風祭市の近くに、秘密のシェルターがあることを！

// <1849> 西九条
<1849> 西九条

// <1850> 「えぇそれよ。箱舟計画！　風祭の近郊に、その計画があった可能性は！？」
<1850> 「えぇそれよ。箱舟計画！　風祭の近郊に、その計画があった可能性は！？」

// <1851> 西九条
<1851> 西九条

// <1852> 「近郊に放置された核シェルターがあったりするんじゃない！？　大至急よ、文書庫制圧と金庫破壊を許可するわ、調べて！！」
<1852> 「近郊に放置された核シェルターがあったりするんじゃない！？　大至急よ、文書庫制圧と金庫破壊を許可するわ、調べて！！」

// <1853> 西九条
<1853> 西九条

// <1854> 「ブレンダ・マクファーデンとその一味は、そこに潜伏しているッ！！」
<1854> 「ブレンダ・マクファーデンとその一味は、そこに潜伏しているッ！！」

// <1855> 人類と神の御使いのナーバスな時期に、マッドサイエンティストどもが、おかしなことを始めてくれちゃって。
<1855> 人類と神の御使いのナーバスな時期に、マッドサイエンティストどもが、おかしなことを始めてくれちゃって。

// <1856> そこでルチアちゃんを氷漬けにする計画を黙々と…？
<1856> そこでルチアちゃんを氷漬けにする計画を黙々と…？

// <1857> もうこれ以上ね、ウチの娘をあんたたちの玩具にさせるわけには行かないのよ…！！
<1857> もうこれ以上ね、ウチの娘をあんたたちの玩具にさせるわけには行かないのよ…！！

// <1858> 
<1858> 

// <1859> 明日から収穫祭だ。
<1859> 明日から収穫祭だ。

// <1860> 今日はその前夜祭だということで、実質、今日から収穫祭は始まっていると言っていい。
<1860> 今日はその前夜祭だということで、実質、今日から収穫祭は始まっていると言っていい。

// <1861> 教室の雰囲気はまるで、夏休み前日みたいな浮かれた感じだった。
<1861> 教室の雰囲気はまるで、夏休み前日みたいな浮かれた感じだった。

// <1862> しかし、俺はあの日以来、気が抜けたままだ…。
<1862> しかし、俺はあの日以来、気が抜けたままだ…。

// <1863> 最近、俯いてばかりいた小鳥は、今日、その姿がない。欠席だった。
<1863> 最近、俯いてばかりいた小鳥は、今日、その姿がない。欠席だった。

// <1864> そしてちはやもまた、欠席だった。
<1864> そしてちはやもまた、欠席だった。

// <1865> 小鳥は最近、体調が悪そうだったから、休んだのも頷けるが、……ちはやが休む心当たりはなかった。
<1865> 小鳥は最近、体調が悪そうだったから、休んだのも頷けるが、……ちはやが休む心当たりはなかった。

// <1866> 久しぶりに、ぼんやりとオカ研の部室にも顔を出す。
<1866> 久しぶりに、ぼんやりとオカ研の部室にも顔を出す。

// <1867> ……この妖怪ポストの投函から、全ては始まったんだっけ…。
<1867> ……この妖怪ポストの投函から、全ては始まったんだっけ…。

// <1868> 瑚太朗
<1868> 瑚太朗

// <1869> 「会長殿は、……珍しいな。いねぇ」
<1869> 「会長殿は、……珍しいな。いねぇ」

// <1870> 朱音も欠席だということに気付くのに、そう時間は掛からなかった。
<1870> 朱音も欠席だということに気付くのに、そう時間は掛からなかった。

// <1871> そしてずっと前から、……静流もルチアも欠席している。
<1871> そしてずっと前から、……静流もルチアも欠席している。

// <1872> 誰も、いなかった。
<1872> 誰も、いなかった。

// <1873> 馬鹿騒ぎがしたくて、おかしな仲間が集まったはずだった。
<1873> 馬鹿騒ぎがしたくて、おかしな仲間が集まったはずだった。

// <1874> なのに、………まるで、水面の泡が散って消えていくように、……儚くて、何も残らない。
<1874> なのに、………まるで、水面の泡が散って消えていくように、……儚くて、何も残らない。

// <1875> 何が、天王寺瑚太朗は此花ルチアを孤独にしない、だ。
<1875> 何が、天王寺瑚太朗は此花ルチアを孤独にしない、だ。

// <1876> 正反対だ。
<1876> 正反対だ。

// <1877> ……孤独なのは、むしろ俺の方じゃねぇか。
<1877> ……孤独なのは、むしろ俺の方じゃねぇか。

// <1878> 思えば、俺って、……孤独であることに、気付くのが嫌で、…いつも空騒ぎをしてたんじゃないだろうか。
<1878> 思えば、俺って、……孤独であることに、気付くのが嫌で、…いつも空騒ぎをしてたんじゃないだろうか。

// <1879> ルチアは今どうしてるんだ…。
<1879> ルチアは今どうしてるんだ…。

// <1880> 俺は今日も、何かの吉報を信じて、静流の病院へ見舞いに行く。
<1880> 俺は今日も、何かの吉報を信じて、静流の病院へ見舞いに行く。

// <1881> 以前は見舞い先で西九条先生にもよく会えたが、最近は忙しいらしく、まったく会えない。
<1881> 以前は見舞い先で西九条先生にもよく会えたが、最近は忙しいらしく、まったく会えない。

// <1882> ルチアを連れ去ったとかいう連中の行方も、その捜査も、どうなってるのかさっぱりだった…。
<1882> ルチアを連れ去ったとかいう連中の行方も、その捜査も、どうなってるのかさっぱりだった…。

// <1883> 昼過ぎにＨＲが終わり、下校となる。
<1883> 昼過ぎにＨＲが終わり、下校となる。

// <1884> クラスメートはみんな、これから始まる収穫祭ウィークに浮かれている。
<1884> クラスメートはみんな、これから始まる収穫祭ウィークに浮かれている。

// <1885> 俺だけが、その雰囲気から取り残されている…。
<1885> 俺だけが、その雰囲気から取り残されている…。

// <1886> 瑚太朗
<1886> 瑚太朗

// <1887> 「……はぁっ」
<1887> 「……はぁっ」

// <1888> 深い溜息をつきながら校門を出る。
<1888> 深い溜息をつきながら校門を出る。

// <1889> さっそく祭りの会場を回ろうと意気込み、駆けて行く生徒たち、あるいはどこかへ遊びに行こうと約束している生徒たちが、賑やかに俺の両脇を駆け抜けていく。
<1889> さっそく祭りの会場を回ろうと意気込み、駆けて行く生徒たち、あるいはどこかへ遊びに行こうと約束している生徒たちが、賑やかに俺の両脇を駆け抜けていく。

// <1890> まるで、俺だけを置いて、……みんなだけしか知らないどこかへ行ってしまうような気持ちだった。
<1890> まるで、俺だけを置いて、……みんなだけしか知らないどこかへ行ってしまうような気持ちだった。

// <1891> みんな、どこへ行っちまうんだよ…。
<1891> みんな、どこへ行っちまうんだよ…。

// <1892> みんな、どこへ行っちまったんだよ…。
<1892> みんな、どこへ行っちまったんだよ…。

// <1893> 誰か、立ち止まって振り返ってくれ。
<1893> 誰か、立ち止まって振り返ってくれ。

// <1894> そして、俺に一緒に行こうって、……声を掛けてくれ……。
<1894> そして、俺に一緒に行こうって、……声を掛けてくれ……。

// <1895> その時。
<1895> その時。

// <1896> ……校門の向こうの光の彼方へ、どんどんと消えていく生徒たちの群に逆らって。
<1896> ……校門の向こうの光の彼方へ、どんどんと消えていく生徒たちの群に逆らって。

// <1897> 俺が来るのを、待っていてくれる人影が見えた…。
<1897> 俺が来るのを、待っていてくれる人影が見えた…。

// <1898> 瑚太朗
<1898> 瑚太朗

// <1899> 「…………っ」
<1899> 「…………っ」

// <1900> ルチア
<1900> ルチア

// <1901> 「………瑚太朗」
<1901> 「………瑚太朗」

// <1902> ……古典的な常套句、「夢なら覚めないでくれ」。
<1902> ……古典的な常套句、「夢なら覚めないでくれ」。

// <1903> でも、他に何と例えたらいい…？　それが率直で、他の何にも例えようのない、偽らざる気持ちだった。
<1903> でも、他に何と例えたらいい…？　それが率直で、他の何にも例えようのない、偽らざる気持ちだった。

// <1904> 瑚太朗
<1904> 瑚太朗

// <1905> 「ル、………ルチアッ！！」
<1905> 「ル、………ルチアッ！！」

// <1906> ルチア
<1906> ルチア

// <1907> 「……瑚太朗の、…その声が聞けて、嬉しい」
<1907> 「……瑚太朗の、…その声が聞けて、嬉しい」

// <1908> 彼女が幻だったら、俺の言葉に返事をしてはくれない。
<1908> 彼女が幻だったら、俺の言葉に返事をしてはくれない。

// <1909> だから、彼女のその言葉が、ただそれだけで、涙を滲ませる。
<1909> だから、彼女のその言葉が、ただそれだけで、涙を滲ませる。

// <1910> ルチア
<1910> ルチア

// <1911> 「瑚太朗……？　わっ…、」
<1911> 「瑚太朗……？　わっ…、」

// <1912> 瑚太朗
<1912> 瑚太朗

// <1913> 「何で電話に出なかった！！　いや、そんなのはどうでもいいッ！」
<1913> 「何で電話に出なかった！！　いや、そんなのはどうでもいいッ！」

// <1914> 瑚太朗
<1914> 瑚太朗

// <1915> 「……よく……帰ってきたな……、帰ってきたな……」
<1915> 「……よく……帰ってきたな……、帰ってきたな……」

// <1916> 大勢の下校する生徒たちの中で、……俺は涙も隠さず、ルチアを抱き締める。
<1916> 大勢の下校する生徒たちの中で、……俺は涙も隠さず、ルチアを抱き締める。

// <1917> 人目がどうのこうのとか、そんなのはまったく考えなかった。
<1917> 人目がどうのこうのとか、そんなのはまったく考えなかった。

// <1918> 今すぐ抱き締めないと、彼女が霧になって消えてしまいそうで…。
<1918> 今すぐ抱き締めないと、彼女が霧になって消えてしまいそうで…。

// <1919> ……二度と、絶対に逃がしたくなくて、抱き締めてしまったのだ…。
<1919> ……二度と、絶対に逃がしたくなくて、抱き締めてしまったのだ…。

// <1920> ルチア
<1920> ルチア

// <1921> 「こ、…こら、……瑚太朗…」
<1921> 「こ、…こら、……瑚太朗…」

// <1922> ルチア
<1922> ルチア

// <1923> 「……こんなとこで、……恥ずかしい……」
<1923> 「……こんなとこで、……恥ずかしい……」

// <1924> 瑚太朗
<1924> 瑚太朗

// <1925> 「俺は恥ずかしくねぇぞっ」
<1925> 「俺は恥ずかしくねぇぞっ」

// <1926> ルチア
<1926> ルチア

// <1927> 「……じゃあ、……私も、……恥ずかしく……ないな」
<1927> 「……じゃあ、……私も、……恥ずかしく……ないな」

// <1928> 今の感情を、言葉なんて回りくどいものにすることの方が、よっぽど恥ずかしいことだ。
<1928> 今の感情を、言葉なんて回りくどいものにすることの方が、よっぽど恥ずかしいことだ。

// <1929> だから俺は感情の限りを、抱き締める強さで全て語ってから解放した。
<1929> だから俺は感情の限りを、抱き締める強さで全て語ってから解放した。

// <1930> 瑚太朗
<1930> 瑚太朗

// <1931> 「ルチア、……お前、手袋……」
<1931> 「ルチア、……お前、手袋……」

// <1932> ルチア
<1932> ルチア

// <1933> 「もう、必要なくなった」
<1933> 「もう、必要なくなった」

// <1934> ルチア
<1934> ルチア

// <1935> 「新しい薬のお陰で、こうして往来を普通に歩くことが出来る」
<1935> 「新しい薬のお陰で、こうして往来を普通に歩くことが出来る」

// <1936> 瑚太朗
<1936> 瑚太朗

// <1937> 「そ、そうか…、新しい抑制剤が出来たのか…！」
<1937> 「そ、そうか…、新しい抑制剤が出来たのか…！」

// <1938> 瑚太朗
<1938> 瑚太朗

// <1939> 「というかルチア、確か、おかしな連中にさらわれたんじゃなかったっけ…！？　今までどこに！」
<1939> 「というかルチア、確か、おかしな連中にさらわれたんじゃなかったっけ…！？　今までどこに！」

// <1940> ルチア
<1940> ルチア

// <1941> 「より高度な研究機関に移って、新しい抑制剤を調整してもらっていた」
<1941> 「より高度な研究機関に移って、新しい抑制剤を調整してもらっていた」

// <1942> ルチア
<1942> ルチア

// <1943> 「薬はすぐに効いたのだが、その効果を確かめるための観察期間が長く掛かってしまった…」
<1943> 「薬はすぐに効いたのだが、その効果を確かめるための観察期間が長く掛かってしまった…」

// <1944> ルチア
<1944> ルチア

// <1945> 「新しい薬はすごいぞ。……もう私は、手袋などに縛られたりはしない」
<1945> 「新しい薬はすごいぞ。……もう私は、手袋などに縛られたりはしない」

// <1946> 瑚太朗
<1946> 瑚太朗

// <1947> 「そ、……そうだったか…。…そうならそうと、なぜ一言、言ってくれなかったんだよっ」
<1947> 「そ、……そうだったか…。…そうならそうと、なぜ一言、言ってくれなかったんだよっ」

// <1948> 瑚太朗
<1948> 瑚太朗

// <1949> 「俺も静流も西九条先生もみんなみんな心配したんだぞっ」
<1949> 「俺も静流も西九条先生もみんなみんな心配したんだぞっ」

// <1950> ルチア
<1950> ルチア

// <1951> 「縦割り行政というやつだ。上手く横の連絡が取れていなかったらしくて、それを西九条さんが誤解して大騒ぎしてしまったのだ…」
<1951> 「縦割り行政というやつだ。上手く横の連絡が取れていなかったらしくて、それを西九条さんが誤解して大騒ぎしてしまったのだ…」

// <1952> ルチア
<1952> ルチア

// <1953> 「当の私は、後日になって、そんな誤解があったことを知った」
<1953> 「当の私は、後日になって、そんな誤解があったことを知った」

// <1954> ルチア
<1954> ルチア

// <1955> 「電話出来なかったのは済まない。施設の厳しいルールで、携帯の使用が禁じられていたんだ」
<1955> 「電話出来なかったのは済まない。施設の厳しいルールで、携帯の使用が禁じられていたんだ」

// <1956> ルチア
<1956> ルチア

// <1957> 「……私も、一日も早く帰ってきたかったので、それを破るわけにはいかなかった」
<1957> 「……私も、一日も早く帰ってきたかったので、それを破るわけにはいかなかった」

// <1958> ルチア
<1958> ルチア

// <1959> 「……心配させて、本当に済まない」
<1959> 「……心配させて、本当に済まない」

// <1960> 瑚太朗
<1960> 瑚太朗

// <1961> 「そうか、…そうだったのか……」
<1961> 「そうか、…そうだったのか……」

// <1962> 瑚太朗
<1962> 瑚太朗

// <1963> 「もういいや、何でもいいやっ。でもお前、どうして制服なんだ？」
<1963> 「もういいや、何でもいいやっ。でもお前、どうして制服なんだ？」

// <1964> ルチア
<1964> ルチア

// <1965> 「学校に間に合うと思った。……でも間に合わなかったな」
<1965> 「学校に間に合うと思った。……でも間に合わなかったな」

// <1966> 何が間に合わないものか。こうして、一分一秒でも早く会うことが出来た。
<1966> 何が間に合わないものか。こうして、一分一秒でも早く会うことが出来た。

// <1967> そして彼女を苦しめた毒の体は再び抑えられ、のみならず、ついに彼女の孤独の象徴であった手袋まで外すことが出来たのだ。
<1967> そして彼女を苦しめた毒の体は再び抑えられ、のみならず、ついに彼女の孤独の象徴であった手袋まで外すことが出来たのだ。

// <1968> 何も手遅れなんかじゃない。何も、何も…！
<1968> 何も手遅れなんかじゃない。何も、何も…！

// <1969> 瑚太朗
<1969> 瑚太朗

// <1970> 「学校はもう終わっちまったぜ。だから、来ていきなり下校だな」
<1970> 「学校はもう終わっちまったぜ。だから、来ていきなり下校だな」

// <1971> ルチア
<1971> ルチア

// <1972> 「そうなるな」
<1972> 「そうなるな」

// <1973> 瑚太朗
<1973> 瑚太朗

// <1974> 「この後、予定は？」
<1974> 「この後、予定は？」

// <1975> ルチア
<1975> ルチア

// <1976> 「一つだけある。それを瑚太朗が覚えてくれていると、嬉しい」
<1976> 「一つだけある。それを瑚太朗が覚えてくれていると、嬉しい」

// <1977> 瑚太朗
<1977> 瑚太朗

// <1978> 「また一緒に、デートに行くことだな」
<1978> 「また一緒に、デートに行くことだな」

// <1979> ルチア
<1979> ルチア

// <1980> 「………覚えててくれて、ありがとう」
<1980> 「………覚えててくれて、ありがとう」

// <1981> 瑚太朗
<1981> 瑚太朗

// <1982> 「明日から収穫祭さ。毎日遊ぼう、色んな催しを見て回ろう。退屈なんかさせねぇからなっ」
<1982> 「明日から収穫祭さ。毎日遊ぼう、色んな催しを見て回ろう。退屈なんかさせねぇからなっ」

// <1983> ルチア
<1983> ルチア

// <1984> 「明日じゃなくて、今日がいい。今日できる約束から始めたい」
<1984> 「明日じゃなくて、今日がいい。今日できる約束から始めたい」

// <1985> 瑚太朗
<1985> 瑚太朗

// <1986> 「今から遊びに行くか？」
<1986> 「今から遊びに行くか？」

// <1987> ルチア
<1987> ルチア

// <1988> 「パフェを、食べに行きたい」
<1988> 「パフェを、食べに行きたい」

// <1989> くすっと笑ってしまう。
<1989> くすっと笑ってしまう。

// <1990> あぁ、その約束を俺が忘れたりするものか。
<1990> あぁ、その約束を俺が忘れたりするものか。

// <1991> 瑚太朗
<1991> 瑚太朗

// <1992> 「行くか、例のパフェ屋。混んでるかもしれねぇぞ」
<1992> 「行くか、例のパフェ屋。混んでるかもしれねぇぞ」

// <1993> ルチア
<1993> ルチア

// <1994> 「瑚太朗となら、並ぶのも楽しい」
<1994> 「瑚太朗となら、並ぶのも楽しい」

// <1995> 瑚太朗
<1995> 瑚太朗

// <1996> 「辛いのも甘いのも、デカいのも小さいのも何でもあるぞ」
<1996> 「辛いのも甘いのも、デカいのも小さいのも何でもあるぞ」

// <1997> ルチア
<1997> ルチア

// <1998> 「辛いのなんて瑚太朗も嫌だろう。二人で、一緒に食べるのがいい」
<1998> 「辛いのなんて瑚太朗も嫌だろう。二人で、一緒に食べるのがいい」

// <1999> 瑚太朗
<1999> 瑚太朗

// <2000> 「あぁ。俺もそれがいい」
<2000> 「あぁ。俺もそれがいい」

// <2001> 俺が手を差し出すと、彼女も微笑んでから手を伸ばし、……掴む。
<2001> 俺が手を差し出すと、彼女も微笑んでから手を伸ばし、……掴む。

// <2002> ＫＡＺＡＭＯにデートに行った時に、手を繋いだ記憶が鮮烈に蘇る。
<2002> ＫＡＺＡＭＯにデートに行った時に、手を繋いだ記憶が鮮烈に蘇る。

// <2003> 手袋を外した、温かで柔らかな、彼女の本当の、手。
<2003> 手袋を外した、温かで柔らかな、彼女の本当の、手。

// <2004> その手を、俺は絶対に離さない。
<2004> その手を、俺は絶対に離さない。

// <2005> もう二度と、絶対……。
<2005> もう二度と、絶対……。

// <2006> ルチア
<2006> ルチア

// <2007> 「行こう。くすっ、私たちはいい見世物だ」
<2007> 「行こう。くすっ、私たちはいい見世物だ」

// <2008> 瑚太朗
<2008> 瑚太朗

// <2009> 「だな。何を見てやがる、野郎どもっ。行こうぜ、ルチア！」
<2009> 「だな。何を見てやがる、野郎どもっ。行こうぜ、ルチア！」

// <2010> 
<2010> 

// <2011> 司教補佐
<2011> 司教補佐

// <2012> 『ガイアへのリークに成功した。連中は少なからず動揺しているらしい』
<2012> 『ガイアへのリークに成功した。連中は少なからず動揺しているらしい』

// <2013> 司教補佐
<2013> 司教補佐

// <2014> 『感触では、派手な一斉行動の自粛を検討し始めている模様だ』
<2014> 『感触では、派手な一斉行動の自粛を検討し始めている模様だ』

// <2015> 西九条
<2015> 西九条

// <2016> 「核もたまには便利ね。それから？」
<2016> 「核もたまには便利ね。それから？」

// <2017> 司教補佐
<2017> 司教補佐

// <2018> 『こっちの資料室に当時の備品台帳があった』
<2018> 『こっちの資料室に当時の備品台帳があった』

// <2019> 司教補佐
<2019> 司教補佐

// <2020> 『君の予想通りだ。風祭近郊のシェルターには、冷凍睡眠装置が収められている』
<2020> 『君の予想通りだ。風祭近郊のシェルターには、冷凍睡眠装置が収められている』

// <2021> 西九条
<2021> 西九条

// <2022> 「ビンゴね！　今、そのシェルターの詳細な資料データの暗号ファイルを解凍中よ」
<2022> 「ビンゴね！　今、そのシェルターの詳細な資料データの暗号ファイルを解凍中よ」

// <2023> 西九条
<2023> 西九条

// <2024> 「遅延解凍ロックだとかで、３０分も掛かるんですって。しかもオマケに警告音のやかましいことと言ったら」
<2024> 「遅延解凍ロックだとかで、３０分も掛かるんですって。しかもオマケに警告音のやかましいことと言ったら」

// <2025> 司教補佐
<2025> 司教補佐

// <2026> 『冷凍睡眠装置は次世代人類プロジェクトの完遂には絶対不可欠だ。ブレンダが狙わないわけがない』
<2026> 『冷凍睡眠装置は次世代人類プロジェクトの完遂には絶対不可欠だ。ブレンダが狙わないわけがない』

// <2027> 司教補佐
<2027> 司教補佐

// <2028> 『また、ルチアへの抑制剤投与の有無が不明なため、場合によっては、彼女を安全に搬送するためにも重要になる』
<2028> 『また、ルチアへの抑制剤投与の有無が不明なため、場合によっては、彼女を安全に搬送するためにも重要になる』

// <2029> 西九条
<2029> 西九条

// <2030> 「……やつらに連れ去られる直前の検査では、ルチアは抑制剤に対する免疫を獲得していることが判明してた」
<2030> 「……やつらに連れ去られる直前の検査では、ルチアは抑制剤に対する免疫を獲得していることが判明してた」

// <2031> 西九条
<2031> 西九条

// <2032> 「ヤツらはきっと、自前の抑制剤を投与するでしょうけど、毒を抑えられないはず。持て余して、冷凍睡眠装置に閉じ込めてる可能性も高いわね」
<2032> 「ヤツらはきっと、自前の抑制剤を投与するでしょうけど、毒を抑えられないはず。持て余して、冷凍睡眠装置に閉じ込めてる可能性も高いわね」

// <2033> 司教補佐
<2033> 司教補佐

// <2034> 『最悪のケースだな』
<2034> 『最悪のケースだな』

// <2035> 司教補佐
<2035> 司教補佐

// <2036> 『装置が作られて３０年以上にわたって放置されてる。正常に稼動しない可能性だけでなく、密封性にも疑問がある』
<2036> 『装置が作られて３０年以上にわたって放置されてる。正常に稼動しない可能性だけでなく、密封性にも疑問がある』

// <2037> 司教補佐
<2037> 司教補佐

// <2038> 『突入に際しては、防毒装備が必要となるだろう』
<2038> 『突入に際しては、防毒装備が必要となるだろう』

// <2039> 西九条
<2039> 西九条

// <2040> 「……ルチアちゃんが連れ去られてから少なくない日数が経過してる」
<2040> 「……ルチアちゃんが連れ去られてから少なくない日数が経過してる」

// <2041> 西九条
<2041> 西九条

// <2042> 「最後の検査結果通りに推移したなら、今の彼女はサンタブローシアの時と同等かそれ以上の毒素を放っていることになるわね…」
<2042> 「最後の検査結果通りに推移したなら、今の彼女はサンタブローシアの時と同等かそれ以上の毒素を放っていることになるわね…」

// <2043> 司教補佐
<2043> 司教補佐

// <2044> 『そのような事態になれば、必ず発覚したはず』
<2044> 『そのような事態になれば、必ず発覚したはず』

// <2045> 司教補佐
<2045> 司教補佐

// <2046> 『なのに今日まで潜伏できたということは、何らかの方法でそれを防いでいると考えていいだろうな』
<2046> 『なのに今日まで潜伏できたということは、何らかの方法でそれを防いでいると考えていいだろうな』

// <2047> 司教補佐
<2047> 司教補佐

// <2048> 『細心の注意を払ってくれ。いずれにせよ、今の彼女は、歩く放射性廃棄物も同然だ』
<2048> 『細心の注意を払ってくれ。いずれにせよ、今の彼女は、歩く放射性廃棄物も同然だ』

// <2049> 西九条
<2049> 西九条

// <2050> 「やめて。二度とうちの子にそういうことを言わないで」
<2050> 「やめて。二度とうちの子にそういうことを言わないで」

// <2051> 司教補佐
<2051> 司教補佐

// <2052> 『……済まない。ただ、想定すべき事態だぞ』
<2052> 『……済まない。ただ、想定すべき事態だぞ』

// <2053> 司教補佐
<2053> 司教補佐

// <2054> 『もしもルチアを収めた冷凍睡眠装置が収穫祭会場のど真ん中に置かれていたら？』
<2054> 『もしもルチアを収めた冷凍睡眠装置が収穫祭会場のど真ん中に置かれていたら？』

// <2055> 司教補佐
<2055> 司教補佐

// <2056> 『ブレンダたちは、収穫祭の観光客百万人を人質に国外逃亡の資金と安全の保証、逮捕されているメンバーの釈放を求めるかもしれない』
<2056> 『ブレンダたちは、収穫祭の観光客百万人を人質に国外逃亡の資金と安全の保証、逮捕されているメンバーの釈放を求めるかもしれない』

// <2057> 次世代人類プロジェクトにかかわった人間は、人道に対する許されざる罪で、ほとんどが逮捕され終身刑に科せられている。
<2057> 次世代人類プロジェクトにかかわった人間は、人道に対する許されざる罪で、ほとんどが逮捕され終身刑に科せられている。

// <2058> 残ったブレンダ一派の残党も、全世界のガーディアンに指名手配されている…。
<2058> 残ったブレンダ一派の残党も、全世界のガーディアンに指名手配されている…。

// <2059> 西九条
<2059> 西九条

// <2060> 「……なるほどね」
<2060> 「……なるほどね」

// <2061> 西九条
<2061> 西九条

// <2062> 「連中はどこかで、此花ルチアが風祭市にいることを知った」
<2062> 「連中はどこかで、此花ルチアが風祭市にいることを知った」

// <2063> 西九条
<2063> 西九条

// <2064> 「そして彼女を爆弾に仕立て上げて、交渉の切り札にしようと思いついた…」
<2064> 「そして彼女を爆弾に仕立て上げて、交渉の切り札にしようと思いついた…」

// <2065> 西九条
<2065> 西九条

// <2066> 「……最悪だわ、地獄へ落ちればいいっ、どこまで罪のない子供たちを食い物にすればッ！」
<2066> 「……最悪だわ、地獄へ落ちればいいっ、どこまで罪のない子供たちを食い物にすればッ！」

// <2067> その時、病室に、スーツ姿の若いエージェントが駆け込んでくる。
<2067> その時、病室に、スーツ姿の若いエージェントが駆け込んでくる。

// <2068> 興奮の入り混じった表情から、シェルターの暗号ファイル解凍に成功したことがわかった。
<2068> 興奮の入り混じった表情から、シェルターの暗号ファイル解凍に成功したことがわかった。

// <2069> 西九条
<2069> 西九条

// <2070> 「ごめんなさい、仕事の時間だわ。後で連絡する。切るわね」
<2070> 「ごめんなさい、仕事の時間だわ。後で連絡する。切るわね」

// <2071> エージェント
<2071> エージェント

// <2072> 「解凍に成功ッ、シェルターの所在と内部構造がわかりました！」
<2072> 「解凍に成功ッ、シェルターの所在と内部構造がわかりました！」

// <2073> 西九条
<2073> 西九条

// <2074> 「制圧は可能？　場所は！」
<2074> 「制圧は可能？　場所は！」

// <2075> エージェント
<2075> エージェント

// <2076> 「無人の山中です。ヘリで１５分。制圧は手間取るでしょうが、やれますっ」
<2076> 「無人の山中です。ヘリで１５分。制圧は手間取るでしょうが、やれますっ」

// <2077> 静流
<2077> 静流

// <2078> 「……篭城に有利。制圧にはガスがいりそうだ」
<2078> 「……篭城に有利。制圧にはガスがいりそうだ」

// <2079> ずっとベッドで横になって耳を傾けていた静流が口を挟む。
<2079> ずっとベッドで横になって耳を傾けていた静流が口を挟む。

// <2080> 未だに絶対安静だが、本人の体調はかなり良く、退屈を持て余しているようだった。
<2080> 未だに絶対安静だが、本人の体調はかなり良く、退屈を持て余しているようだった。

// <2081> エージェント
<2081> エージェント

// <2082> 「換気室を制圧して、無力化ガスの使用を考えています」
<2082> 「換気室を制圧して、無力化ガスの使用を考えています」

